Date,Total Activity,Total Waiting List,Waiting List test,6+ Week wait,6+ Week Wait %,13+ Weekwait
01/03/2015,263843,165161,226235,1400,0.85,115
01/04/2015,244709,164838,208217,1574,0.95,47
01/05/2015,248518,164769,211366,1718,1.04,75
01/06/2015,260740,174601,217912,1779,1.02,160
01/07/2015,269237,178862,224594,1598,0.89,97
01/08/2015,253580,161620,210897,2040,1.26,102
01/09/2015,261367,174142,219545,1947,1.12,133
01/10/2015,274222,182780,229557,1854,1.01,171
01/11/2015,270053,184709,227694,1752,0.95,170
01/12/2015,252783,173857,212741,2678,1.54,133
01/01/2016,268210,172726,224935,3437,1.99,119
01/02/2016,269335,179847,223002,1907,1.06,121
01/03/2016,272126,179933,226331,3148,1.75,144
01/04/2016,279599,176113,231883,2953,1.68,125
01/05/2016,279848,183393,229560,2071,1.13,210
01/06/2016,286646,192393,236679,2781,1.45,209
01/07/2016,285568,184475,235719,2546,1.38,219
01/08/2016,286158,176844,235462,2921,1.65,222
01/09/2016,282997,188673,233197,2390,1.27,360
01/10/2016,291710,187559,241912,1788,0.95,273
01/11/2016,289666,196455,241177,1762,0.9,195
01/12/2016,266583,182493,221665,2517,1.38,185
01/01/2017,292872,179829,242438,2590,1.44,227
01/02/2017,275926,185773,228776,1514,0.81,186
01/03/2017,307545,190534,253736,1329,0.7,149
01/04/2017,277235,173110,228435,1546,0.89,118
01/05/2017,294549,185597,241052,2220,1.2,142
01/06/2017,294962,190090,249062,2201,1.16,177
01/07/2017,298736,183850,251481,1843,1,182
01/08/2017,298694,176168,251771,2273,1.29,148
01/09/2017,292879,184635,246841,1849,1,169
01/10/2017,306086,193557,258988,1605,0.83,153
01/11/2017,303211,203516,257125,1959,0.96,121
01/12/2017,274492,180966,233950,2822,1.56,180
01/01/2018,303101,185965,256977,3727,2,207
01/02/2018,275222,194539,233389,2270,1.17,252
01/03/2018,294048,197977,249993,3657,1.85,282
01/04/2018,289655,201302,245598,5265,2.62,384
01/05/2018,303891,211144,259158,6342,3,571
01/06/2018,300102,210983,255369,6706,3.18,604
01/07/2018,307681,203264,261976,6406,3.15,632
01/08/2018,304551,186273,255360,5819,3.12,640
01/09/2018,293358,188876,248811,4912,2.6,590
01/10/2018,313651,203645,266729,4339,2.13,498
01/11/2018,307407,211849,257995,4318,2.04,483
01/12/2018,285515,196059,243866,5339,2.72,542
01/01/2019,317247,205344,267154,7673,3.74,511
01/02/2019,290012,211477,242130,4068,1.92,491
01/03/2019,315521,213049,264221,4301,2.02,381
01/04/2019,298879,206980,248060,6792,3.28,551
01/05/2019,308536,208181,258133,7202,3.46,406
01/06/2019,302649,209425,254926,6510,3.11,493
01/07/2019,316888,211886,264552,5409,2.55,413
01/08/2019,304269,188326,255022,4744,2.52,394
01/09/2019,307957,195632,255726,4868,2.49,632
01/10/2019,326765,215073,271226,4754,2.21,770
01/11/2019,313165,217252,261167,4793,2.21,447
01/12/2019,293134,202893,242639,6842,3.37,651
01/01/2020,319473,213520,263424,9229,4.32,804
01/02/2020,303614,217795,249797,5736,2.63,831
01/03/2020,258383,160852,214683,15710,9.77,1035
01/04/2020,91239,143863,68003,79248,55.09,4662
01/05/2020,136800,161229,98115,87932,54.54,26124
01/06/2020,198316,185099,142910,73091,39.49,48633
01/07/2020,247686,203821,189011,60065,29.47,32808
01/08/2020,250464,199546,199949,55988,28.06,23385
01/09/2020,264305,215327,212060,48571,22.56,18006
01/10/2020,282303,215789,228008,42297,19.6,14821
01/11/2020,277908,219827,224474,41412,18.84,12839
01/12/2020,264859,212906,216533,45571,21.4,14895
01/01/2021,264518,198135,216249,51211,25.85,15246
01/02/2021,261101,199020,211520,40005,20.1,16386
01/03/2021,302986,224841,244506,38185,16.98,14854
01/04/2021,283091,239490,228360,42130,17.59,13422
01/05/2021,295746,255641,241533,43081,16.85,13409
01/06/2021,304768,275436,247688,50431,18.31,14733
01/07/2021,303606,277491,247001,58341,21.02,16296
01/08/2021,299723,265858,243068,64685,24.33,17250
01/09/2021,302290,281275,246530,64395,22.89,18991
01/10/2021,319601,279234,261586,63461,22.73,20620
01/11/2021,314916,295358,260234,67452,22.84,19581
01/12/2021,289042,282596,235684,77055,27.27,22667
01/01/2022,307777,280127,251132,80334,28.68,22896
01/02/2022,298251,289995,244255,64250,22.16,23028
01/03/2022,332307,302825,272608,68709,22.69,22198
01/04/2022,310905,286345,256649,71910,25.11,22044
01/05/2022,329829,289888,270555,65892,22.73,22872
01/06/2022,313990,285479,257078,69238,24.25,24444
01/07/2022,319645,276302,259681,69163,25.03,23760
01/08/2022,327299,270583,269003,71163,26.3,23995
01/09/2022,320517,282783,260335,68273,24.14,24092
01/10/2022,334203,281358,274458,59101,21.01,22342
01/11/2022,342059,302919,279769,62947,20.78,22115
01/12/2022,308942,283854,255431,72809,25.65,24027
01/01/2023,346835,294469,282711,76915,26.12,27332
01/02/2023,332585,298301,270505,62097,20.82,25857
01/03/2023,370621,301866,301278,62553,20.72,21632
01/04/2023,339698,274137,276586,62449,22.78,20562
01/05/2023,353885,278538,281625,55192,19.81,19718
01/06/2023,355964,290214,286109,55935,19.27,19289
01/07/2023,367245,280857,295335,55301,19.69,17219
01/08/2023,365368,268531,293615,56436,21.02,16780
01/09/2023,355643,280785,287774,53713,19.13,16492
01/10/2023,373771,292806,299705,52603,17.97,16575
01/11/2023,374927,314833,303073,53736,17.07,15150
01/12/2023,348211,287690,281481,58829,20.45,16158
01/01/2024,381190,302852,300274,66247,21.87,16516
01/02/2024,364286,316932,287156,53525,16.89,16407
01/03/2024,381523,310208,301659,57411,18.51,14493
01/04/2024,381665,314395,301430,64512,20.52,16445
01/05/2024,397889,318266,316003,61705,19.39,17988
01/06/2024,384317,314630,304303,62656,19.91,18690
01/07/2024,405505,317938,320683,63042,19.83,19192
01/08/2024,399897,290803,318007,60518,20.81,18064
01/09/2024,393603,297234,309616,54373,18.29,17054
01/10/2024,414022,311430,326192,50829,16.32,16316
01/11/2024,403467,320626,318424,51092,15.94,14403
01/12/2024,379242,300969,299491,57001,18.94,16619
01/01/2025,409583,321906,321631,62470,19.41,14808
01/02/2025,386303,332576,307360,45974,13.82,12425
01/03/2025,429478,331280,345329,45529,13.74,10522
01/04/2025,408537,324051,325805,51151,15.78,10964
